UID,Stratum,featTyp,spuddate,Date,USUh,n
ALU_35_undisturbed,ALU,undisturbed,NA,2003-07-01,0.02872600571809967,8
ALU_50_undisturbed,ALU,undisturbed,NA,2003-07-01,0.02786697263155369,8
ALU_33_undisturbed,ALU,undisturbed,NA,2003-07-01,0.02861572658459119,8
ALU_43_undisturbed,ALU,undisturbed,NA,2003-07-01,0.02685109779844736,8
ALU_52_undisturbed,ALU,undisturbed,NA,2003-07-01,0.02736169586482725,8
ALU_44_undisturbed,ALU,undisturbed,NA,2003-07-01,0.02840557606818803,8
ALU_21_disturbed,ALU,disturbed,2001-11-12,2003-08-01,0.02720375727953114,8
ALU_104_disturbed,ALU,disturbed,1999-01-01,2003-08-01,0.02772789189703308,8
ALU_20_disturbed,ALU,disturbed,2003-06-25,2003-08-01,0.02946982278794117,8
ALU_101_disturbed,ALU,disturbed,1999-01-01,2003-08-01,0.02963427455506914,8
ALU_28_disturbed,ALU,disturbed,1979-05-04,2003-08-01,0.02747526012103468,8
ALU_27_disturbed,ALU,disturbed,2001-10-21,2003-08-01,0.02924673653209744,8
ALU_102_disturbed,ALU,disturbed,1999-01-01,2003-08-01,0.02834992741285105,8
ALU_103_disturbed,ALU,disturbed,1999-01-01,2003-08-01,0.02910087398417114,8
ALU_33_undisturbed,ALU,undisturbed,NA,2003-08-01,0.02853098491711223,8
ALU_39_undisturbed,ALU,undisturbed,NA,2003-08-01,0.02845904854615155,8
ALU_38_undisturbed,ALU,undisturbed,NA,2003-08-01,0.02878250625855531,8
ALU_41_undisturbed,ALU,undisturbed,NA,2003-08-01,0.02824564900729201,8
ALU_50_undisturbed,ALU,undisturbed,NA,2003-08-01,0.02817515613240138,8
ALU_37_undisturbed,ALU,undisturbed,NA,2003-08-01,0.02847490301519302,8
ALU_43_undisturbed,ALU,undisturbed,NA,2003-08-01,0.02648361721830498,8
ALU_30_undisturbed,ALU,undisturbed,NA,2003-08-01,0.02970448144512179,8
ALU_27_disturbed,ALU,disturbed,2001-10-21,2003-09-01,0.02957552173584728,8
ALU_101_disturbed,ALU,disturbed,1999-01-01,2003-09-01,0.02974529903856314,8
ALU_103_disturbed,ALU,disturbed,1999-01-01,2003-09-01,0.02912704363581643,8
ALU_102_disturbed,ALU,disturbed,1999-01-01,2003-09-01,0.02878829798797629,8
ALU_21_disturbed,ALU,disturbed,2001-11-12,2003-09-01,0.02772395298159801,8
ALU_20_disturbed,ALU,disturbed,2003-06-25,2003-09-01,0.02985604753217474,8
ALU_104_disturbed,ALU,disturbed,1999-01-01,2003-09-01,0.02829049750722213,8
ALU_28_disturbed,ALU,disturbed,1979-05-04,2003-09-01,0.02774680014925978,8
ALU_30_undisturbed,ALU,undisturbed,NA,2003-09-01,0.03005967234761145,8
ALU_43_undisturbed,ALU,undisturbed,NA,2003-09-01,0.02699827387444292,8
ALU_38_undisturbed,ALU,undisturbed,NA,2003-09-01,0.02968704272513273,8
ALU_39_undisturbed,ALU,undisturbed,NA,2003-09-01,0.02914220299843654,8
